split,demo,steps,agent_x_min,agent_x_max,agent_y_min,agent_y_max,agent_z_min,agent_z_max,action_x_min,action_x_max,action_y_min,action_y_max,action_z_min,action_z_max,action_gripper_max,first_close_step,first_open_after_close_step,agent_vel_abs_max,action_vel_abs_max
val,demo_006,96,-0.04191308096051216,0.24261242151260376,0.45736169815063477,0.5894151329994202,0.3787338435649872,0.503255307674408,-0.04311078041791916,0.24395142495632172,0.46056193113327026,0.5920903086662292,0.38040417432785034,0.5087841153144836,1.0,26,77,2.5630078315734863,10.0
val,demo_007,96,-0.05226711928844452,0.25005510449409485,0.4570189118385315,0.5953918695449829,0.3867867887020111,0.5088189244270325,-0.05296657979488373,0.2510763704776764,0.4615917205810547,0.5970261693000793,0.38842999935150146,0.5135585069656372,1.0,24,70,2.588843584060669,10.0
val,demo_008,107,-0.0662497729063034,0.24834321439266205,0.4576479196548462,0.5973959565162659,0.39682671427726746,0.5252733826637268,-0.06618553400039673,0.24758034944534302,0.4606160521507263,0.6010563969612122,0.3984341323375702,0.5287886261940002,1.0,27,77,2.58902907371521,10.0
val,demo_009,86,-0.056956157088279724,0.2448856681585312,0.4528964161872864,0.6089180707931519,0.3856221139431,0.5342394709587097,-0.05774518847465515,0.24535302817821503,0.45448586344718933,0.6102718114852905,0.3868766129016876,0.5396375060081482,1.0,21,63,2.5635626316070557,10.0
val,demo_010,85,-0.04453447833657265,0.25154274702072144,0.45695558190345764,0.602301836013794,0.38752326369285583,0.4907808303833008,-0.045714013278484344,0.2523331940174103,0.4622422754764557,0.6051965355873108,0.3892751932144165,0.4975387752056122,1.0,23,66,2.6127681732177734,10.0
val,demo_011,84,-0.044919803738594055,0.2502296566963196,0.453866183757782,0.5953811407089233,0.38633283972740173,0.4871986508369446,-0.04526796191930771,0.25139543414115906,0.4546341001987457,0.5962371826171875,0.38720110058784485,0.49294474720954895,1.0,20,65,2.584650754928589,10.0
val,demo_012,87,-0.038095954805612564,0.23755760490894318,0.4595973491668701,0.5892070531845093,0.38081565499305725,0.4867456555366516,-0.03822201117873192,0.2388511598110199,0.4685373306274414,0.5911408066749573,0.3829950988292694,0.4918980896472931,1.0,19,64,2.5649807453155518,10.0
val,demo_013,100,-0.049975208938121796,0.24255162477493286,0.4570232033729553,0.5886285305023193,0.39265885949134827,0.5163995027542114,-0.051284030079841614,0.24303770065307617,0.462902307510376,0.5918547511100769,0.39442768692970276,0.5218333601951599,1.0,26,80,2.564117908477783,10.0
val,demo_014,100,-0.04417720437049866,0.24481695890426636,0.4580203592777252,0.5928277969360352,0.38449233770370483,0.49420052766799927,-0.044829003512859344,0.24587859213352203,0.46658042073249817,0.5932751893997192,0.38631874322891235,0.5017894506454468,1.0,22,78,2.58909010887146,10.0
val,demo_015,90,-0.06560150533914566,0.25673526525497437,0.4576837122440338,0.5879833102226257,0.38034889101982117,0.5222728848457336,-0.06423239409923553,0.2573956549167633,0.45918071269989014,0.590438723564148,0.3822023868560791,0.5265522003173828,1.0,21,69,2.593961715698242,10.0
val,demo_016,94,-0.029910247772932053,0.2644321024417877,0.4553098678588867,0.6044808626174927,0.3786785900592804,0.4915207624435425,-0.028393108397722244,0.26712945103645325,0.4628928303718567,0.6078128218650818,0.3815390169620514,0.4957260489463806,1.0,29,75,2.6125833988189697,10.0
